week,A,E,H,I,R,S,V,R_t
0.0,3.9809284,15.857876,0.0,7.9586062,0.038265612,11515.989,9.0189495,2.866928581909246
1.0,1.8813565,5.456507,3.1688137,7.708342,23.621927,11429.855,76.03575,2.846745970701042
2.0,1.0609188,3.4732754,5.23479,4.6927443,35.27011,11356.703,146.40956,2.827273823087148
3.0,0.7446574,2.5462284,6.666615,3.2102122,42.198353,11281.894,200.11731,2.812415250910233
4.0,0.61019,2.1462922,7.3100467,2.4772081,44.545578,11202.379,293.37555,2.788854684251899
5.0,0.5522759,2.013292,8.156508,2.1868262,47.54548,11115.277,360.96487,2.77104360607369
6.0,0.53004116,2.0440784,8.56779,2.130436,48.185436,11060.374,431.01196,2.7535022846188766
7.0,0.55332273,2.0772438,9.717309,2.1610909,49.520256,10983.8545,482.15375,2.739861315490765
8.0,0.5753881,2.1663802,10.16196,2.2412665,51.517593,10916.208,569.97345,2.717611800824068
9.0,0.60210675,2.2955222,10.943697,2.3563547,52.728447,10853.125,630.793,2.7019071337295344
10.0,0.6288039,2.3765855,11.765239,2.418079,53.441776,10768.02,693.4889,2.6855330263871107
11.0,0.67599833,2.521487,12.38143,2.5794067,56.6585,10688.745,789.28235,2.6609844036338925
12.0,0.7090282,2.6871254,13.212083,2.750875,58.810856,10620.102,832.2977,2.6490029941990096
13.0,0.74436474,2.8667772,14.463042,2.8823237,60.477577,10561.133,907.8264,2.6297729811422856
14.0,0.7830867,2.984703,15.365092,3.0403547,62.03108,10492.396,976.2434,2.6121030383050976
15.0,0.83508587,3.1872098,16.54393,3.1810083,64.71902,10403.73,1060.6472,2.5900295175769377
16.0,0.87599164,3.3010666,17.461798,3.3940115,68.98527,10340.524,1104.3346,2.577410199854433
17.0,0.92512065,3.5363662,19.044956,3.5453238,71.00837,10270.869,1183.914,2.55695358327998
18.0,0.955848,3.6921887,20.168858,3.7162287,74.07731,10179.393,1270.841,2.5341801474167425
19.0,1.0223674,3.7943878,21.504236,3.9766688,77.822296,10106.738,1337.9849,2.5160929002548906
20.0,1.0779239,4.068701,22.696388,4.15738,80.32015,10032.89,1397.8536,2.4998241892724553
21.0,1.1286473,4.2738853,24.020979,4.3260655,84.77241,9941.395,1463.0161,2.481354501255055
22.0,1.1670021,4.4226804,25.479317,4.514726,89.4024,9873.229,1554.629,2.457960052334003
23.0,1.2290722,4.6536994,26.997547,4.773288,93.314735,9806.057,1603.3107,2.443883419175227
24.0,1.2934654,4.9001455,28.629585,4.980469,97.41826,9727.113,1672.5735,2.424929105095697
25.0,1.3409649,5.0758233,30.544746,5.262926,102.51965,9648.183,1755.4713,2.4028590626644353
26.0,1.414562,5.3537126,32.2312,5.4414153,106.939865,9583.958,1802.8141,2.3889834556774994
27.0,1.4701829,5.585564,34.315464,5.7103806,112.84365,9500.451,1892.4675,2.365156327784475
28.0,1.5344009,5.8093176,35.850742,5.960977,118.67554,9435.229,1949.7839,2.3489191222043457
29.0,1.5973296,6.0997853,37.875366,6.19903,121.66546,9339.361,2040.0464,2.3250525397436324
30.0,1.6599234,6.2696643,39.80968,6.5011134,128.88115,9264.371,2092.1768,2.3090168623421765
31.0,1.7394015,6.5512204,42.442917,6.7088675,134.37903,9198.308,2149.457,2.2925680000033526
32.0,1.7889508,6.769951,44.452007,6.987037,139.58052,9100.611,2252.1223,2.2657197009063066
33.0,1.8539279,7.018651,47.10007,7.2296677,145.96362,9025.998,2317.6797,2.247040325289734
34.0,1.941193,7.312869,49.71478,7.5710835,153.09135,8965.5,2363.5696,2.232779883460039
35.0,1.9987454,7.501557,52.073452,7.791043,159.34128,8878.549,2445.5894,2.210332434699673
